time_sec,motion_pixels,motion_area_percent,dominant_freq
0.33,3743,1.22,0.0
0.4,2967,0.97,0.0
0.4,2344,0.76,0.0
0.42,2156,0.7,0.0
0.47,2555,0.83,0.0
0.51,2047,0.67,0.0
0.54,1478,0.48,0.0
0.57,1079,0.35,0.0
0.6,720,0.23,0.0
0.63,445,0.14,0.0
0.66,231,0.08,0.0
0.69,124,0.04,0.0
0.73,67,0.02,0.0
0.76,21,0.01,0.0
0.79,53,0.02,0.0
0.82,62,0.02,0.0
0.87,89,0.03,0.0
0.9,108,0.04,0.0
0.94,66,0.02,0.0
0.97,0,0.0,0.0
1.0,0,0.0,0.0
1.03,0,0.0,0.0
1.06,0,0.0,0.0
1.1,0,0.0,0.0
1.13,168,0.05,0.0
1.16,283,0.09,0.0
1.19,349,0.11,0.0
1.22,354,0.12,0.0
1.27,346,0.11,0.0
1.31,324,0.11,0.0
1.34,180,0.06,0.0
1.37,61,0.02,0.0
1.4,0,0.0,0.0
1.43,0,0.0,0.0
1.46,0,0.0,0.0
1.5,0,0.0,0.0
1.53,0,0.0,0.0
1.56,0,0.0,0.0
1.59,19,0.01,0.0
1.62,0,0.0,0.0
1.66,0,0.0,0.0
1.7,0,0.0,0.0
1.74,0,0.0,0.0
1.77,0,0.0,0.0
1.8,0,0.0,0.0
1.83,0,0.0,0.0
1.86,0,0.0,0.0
1.89,0,0.0,0.0
1.93,0,0.0,0.0
1.96,0,0.0,0.0
1.99,0,0.0,0.0
2.02,0,0.0,0.0
2.06,0,0.0,0.0
2.11,0,0.0,0.0
2.14,0,0.0,0.0
2.17,0,0.0,0.0
2.2,0,0.0,0.0
2.23,0,0.0,0.0
2.27,0,0.0,0.0
2.29,0,0.0,0.0
2.33,0,0.0,0.0
2.36,0,0.0,0.0
2.39,0,0.0,0.0
2.42,0,0.0,0.0
2.46,0,0.0,0.0
2.5,0,0.0,0.0
2.54,0,0.0,0.0
2.57,0,0.0,0.0
2.6,112,0.04,0.0
2.63,439,0.14,0.0
2.66,718,0.23,0.0
2.7,982,0.32,0.0
2.73,872,0.28,0.0
2.76,813,0.26,0.0
2.79,1263,0.41,0.2
2.82,732,0.24,0.2
2.85,308,0.1,0.2
2.91,243,0.08,0.2
2.94,147,0.05,0.2
2.97,90,0.03,0.2
3.0,57,0.02,0.2
3.03,379,0.12,0.2
3.07,923,0.3,0.2
3.09,1194,0.39,0.2
3.13,1161,0.38,0.2
3.16,1799,0.59,0.2
3.19,3801,1.24,0.2
3.23,4795,1.56,0.2
3.26,5391,1.75,0.2
3.3,5413,1.76,0.2
3.34,5726,1.86,0.2
3.37,5530,1.8,0.2
3.4,7017,2.28,0.2
3.43,8561,2.79,0.2
3.46,8086,2.63,0.2
3.5,8052,2.62,0.2
3.53,7650,2.49,0.2
3.56,7205,2.35,0.2
3.59,5521,1.8,0.2
3.62,5433,1.77,0.2
3.66,6548,2.13,0.2
3.71,8919,2.9,0.2
3.74,12583,4.1,0.2
3.77,16485,5.37,0.2
3.8,21336,6.95,0.2
3.83,22260,7.25,0.2
3.86,24010,7.82,0.2
3.9,25870,8.42,0.2
3.93,25147,8.19,0.2
3.96,21716,7.07,0.2
3.99,18755,6.11,0.2
4.02,17282,5.63,0.2
4.06,18078,5.88,0.2
4.11,21398,6.97,0.2
4.14,18668,6.08,0.2
4.17,14893,4.85,0.2
4.2,9478,3.09,0.2
4.23,6442,2.1,0.2
4.26,6547,2.13,0.2
4.3,8379,2.73,0.2
4.33,10090,3.28,0.2
4.36,12677,4.13,0.2
4.39,14543,4.73,0.2
4.43,13627,4.44,0.2
4.46,12036,3.92,0.2
4.51,12358,4.02,0.2
4.54,16682,5.43,0.2
4.57,21206,6.9,0.2
4.6,26310,8.56,0.2
4.63,18130,5.9,0.2
4.66,23261,7.57,0.2
4.7,17989,5.86,0.2
4.72,9494,3.09,0.2
4.76,22287,7.25,0.2
4.79,30053,9.78,0.2
4.82,20118,6.55,0.2
4.85,20989,6.83,0.2
4.9,26069,8.49,0.2
4.94,26337,8.57,0.2
4.97,28997,9.44,0.2
5.0,30601,9.96,0.2
5.03,28305,9.21,0.2
5.06,30636,9.97,0.2
5.1,35867,11.68,0.2
5.13,37687,12.27,0.2
5.16,54172,17.63,0.4
5.19,68028,22.14,0.4
